name,ring,quadrant,isNew,description
<!-- First Draft uncategorized //-->
<!-- Art & Creativity Tools //-->
AI Magic Tools (by runway),Trial,Tools,False,"<p>AI Magic Tools by Runway bietet eine Suite von Kreativitätswerkzeugen zur Bearbeitung und Generierung von Inhalten. Mehr dazu <a href='https://runwayml.com/'>hier</a>.</p>"
AvatarAI,Assess,Tools,False,"<p>AvatarAI erstellt fotorealistische AI-Avatare. Mehr dazu <a href='https://avatarai.me/'>hier</a>.</p>"
ClipDrop,Trial,Tools,False,"<p>ClipDrop bietet Apps, Plugins und Ressourcen für Kreative, unterstützt durch AI. Mehr dazu <a href='https://clipdrop.co/'>hier</a>.</p>"
DreamStudio,Trial,Tools,False,"<p>DreamStudio ist ein Open-Source-Bildgenerierungsmodell zur Erstellung realistischer Bilder. Mehr dazu <a href='https://beta.dreamstudio.ai/'>hier</a>.</p>"
Lensa,Adopt,Tools,False,"<p>Lensa ist eine AI-gestützte Bildbearbeitungs-App für Avatare. Mehr dazu <a href='https://www.lensa-ai.com/'>hier</a>.</p>"
Phraser,Assess,Tools,False,"<p>Phraser ist ein kollaboratives kreatives AI-Tool. Mehr dazu <a href='https://phraser.tech/'>hier</a>.</p>"
Playground,Trial,Tools,False,"<p>Playground durchsucht Prompts für die Kunstgenerierung. Mehr dazu <a href='https://playgroundai.com/'>hier</a>.</p>"
Synthesia,Adopt,Tools,False,"<p>Synthesia ist eine AI-Videoerstellungsplattform. Mehr dazu <a href='https://www.synthesia.io/'>hier</a>.</p>"
Rytr,Assess,Tools,False,"<p>Rytr automatisiert den Designprozess. Mehr dazu <a href='https://rytr.me/'>hier</a>.</p>"
Craiyon (Formerly DALL-E Mini),Trial,Tools,False,"<p>Craiyon ist ein kostenloser Online-AI-Bildgenerator aus Text. Mehr dazu <a href='https://www.craiyon.com/'>hier</a>.</p>"
